meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
614,1004.0,0.0014502492254294301,0.6238990478821487,0.007122795481466259
615,1074.0,8.627584661005841e-05,0.7473490352867589,0.0010228150367082097
616,945.0,0.010490611762062592,0.5113415052449198,0.030879043868126024
617,1005.0,0.0013980368043512484,0.7566307882107083,0.006886032282750132
618,842.0,0.14218238259060448,0.08602016124841037,0.21161170188160094
619,853.0,0.11312966692982232,0.42719412791385764,0.17792305347883308
620,836.0,0.1602804049965988,0.3160572033314153,0.23329552598573525
621,831.0,0.17664959379219103,0.3535589075205759,0.2522098436285518
622,878.0,0.06442727129161098,0.42349460095946556,0.11895862443639019
623,891.0,0.046925149222233356,0.4866755438877881,0.09336149480673511
624,894.0,0.04351146681200461,0.1363364598812559,0.08851622656785316
625,910.0,0.028646156927433275,0.16540229551068433,0.06411815593523151
626,851.0,0.11803210268781236,0.10252372610272203,0.18378368163075132
627,929.0,0.016863572672999632,0.4704632578709895,0.043395930276776
628,880.0,0.061427465809117,0.3039403601668989,0.11477588448464361
629,900.0,0.037310514567581235,0.3653865466843045,0.07937719621494077
630,898.0,0.03928820075829039,0.28141833348271705,0.08236148427256242
631,977.0,0.0037515031745456845,0.5047844281127211,0.014459268961982132
632,760.0,0.5493450454074637,0.07026591956383547,0.6262096373046618
633,871.0,0.07589274460591197,0.33795670286944945,0.13477234295202759
634,980.0,0.0033882454125876127,0.5806872995200386,0.013482393204254876
635,1126.0,7.5586841292445686e-06,0.8823985186097318,0.00018300532419959737
636,966.0,0.005406413411786003,0.5491878049241811,0.01873714648157286
637,970.0,0.004740559649672099,0.5956816914217092,0.01708390364315794
638,992.0,0.0022334625174474953,0.6245802465464676,0.009972265110369466
639,1057.0,0.00017959750000770384,0.854866364097105,0.00173442754220923
640,972.0,0.0044362866241845125,0.7457787221950994,0.016260078266467328
641,905.0,0.032733576310446426,0.477199394555204,0.07168027729637885
642,1014.0,0.0010003407795123895,0.6837736684125724,0.005529214790938256
643,924.0,0.019455683939780307,0.4915671126549039,0.047983243461237224
644,793.0,0.3429006811340187,0.16157611794802573,0.42993892842405407
645,694.0,0.9282266560823891,-0.04626582945719194,0.9526099234660459
646,708.0,0.9619653728956759,-0.018497711807236635,0.9755861215384465
647,677.0,0.7869843741623047,-0.09075677014707723,0.8340481745900135
648,690.0,0.8946164963648924,-0.07682693467792465,0.9247418865010524
649,765.0,0.5145767507606718,0.12015848569057536,0.5952607231208579
