,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
r1918_pos,1049.0,0.0002509064840704123,0.9653486612984891,0.0016429597929861167,r1918
r1919_pos,1039.0,0.0003774606153396267,0.9790154916616293,0.00234477673122097,r1919
r1920_pos,1051.0,0.00023093312590795199,0.9950421890783406,0.0015446755146453083,r1920
r1921_pos,1075.0,8.25546939906307e-05,0.9403653624268405,0.0006461017068608043,r1921
r1922_pos,1008.0,0.0012516207578745376,0.8004835034582354,0.006187096560295086,r1922
r1923_pos,1019.0,0.0008275348220555926,0.8238640102585677,0.004491644569878154,r1923
r1924_pos,1020.0,0.0007964831099213293,0.8764754954976293,0.004344755528661007,r1924
r1925_pos,1009.0,0.0012060524129858172,0.8630162449984513,0.005984474198073132,r1925
r1926_pos,1056.0,0.0001873326722999911,0.9134510082963949,0.0013206246100112642,r1926
r1928_pos,1025.0,0.0006568110769323589,0.8375967081975035,0.0037066151880422843,r1928
r1929_pos,1030.0,0.0005402033033982759,0.9015655104836359,0.003171813645739203,r1929
r1930_pos,1015.0,0.000963312438409708,0.8763918545033068,0.0050241394932222195,r1930
r1931_pos,1059.0,0.00016501940571050106,0.9358097057907983,0.001182458131927768,r1931
r1932_pos,911.0,0.027883669488246596,0.46281915058790724,0.05821718214239346,r1932
r1933_pos,924.0,0.019455683939780307,0.4860267168851772,0.04580075451961971,r1933
r1934_pos,933.0,0.015013319566774437,0.5353655647650816,0.037376016521474646,r1934
r1935_pos,973.0,0.004290885992348611,0.6954016668456542,0.015289498342419942,r1935
r1936_pos,1016.0,0.0009275570041451275,0.6708661236447955,0.004872656770167531,r1936
r1937_pos,1052.0,0.0002215155018452526,0.805476500328706,0.0014985546631042707,r1937
r1938_pos,1055.0,0.00019538018749680505,0.808373965500014,0.0013641127406961763,r1938
r1939_pos,1058.0,0.00017216338275598958,0.8665321774274966,0.0012255857367215598,r1939
r1940_pos,1120.0,1.0160270942420424e-05,1.1311679143924616,0.00010310150715639358,r1940
r1941_pos,1048.0,0.0002614902179657628,0.7476510864574812,0.0016986466942408153,r1941
r1942_pos,1001.0,0.0016178610636039489,0.7198812747763246,0.007398685829707352,r1942
r1943_pos,1017.0,0.0008930345956364581,0.7535515710656058,0.004775761933293171,r1943
r1944_pos,1011.0,0.0011194791436522089,0.7688723630501018,0.005666767005241816,r1944
r1945_pos,1045.0,0.00029580752380375345,0.8910370362201686,0.001891489401230459,r1945
r1946_pos,1044.0,0.0003081542798055997,0.8536431569960968,0.001964671432711799,r1946
r1947_pos,1052.0,0.0002215155018452526,0.805476500328706,0.0014985546631042707,r1947
r1948_pos,1055.0,0.00019538018749680505,0.808373965500014,0.0013641127406961763,r1948
r1949_pos,1058.0,0.00017216338275598958,0.8665321774274966,0.0012255857367215598,r1949
r1950_pos,1120.0,1.0160270942420424e-05,1.1311679143924616,0.00010310150715639358,r1950
r1951_pos,1048.0,0.0002614902179657628,0.7476510864574812,0.0016986466942408153,r1951
r1952_pos,1028.0,0.0005843166833342251,0.8041160137563664,0.0033233329204431345,r1952
r1953_pos,1033.0,0.00047981742447211425,0.8158166212701015,0.002855743960769824,r1953
r1954_pos,1038.0,0.00039296521879066734,0.867786977214997,0.0024272473580312015,r1954
r1955_pos,1038.0,0.00039296521879066734,0.9186991530264343,0.0024272473580312015,r1955
r1956_pos,1060.0,0.0001581550161331766,0.8556343258830784,0.001140775971777383,r1956
r1957_pos,915.0,0.025006132129066348,0.5177984611275486,0.05423666560353422,r1957
r1958_pos,923.0,0.020013985056576904,0.5401022823025342,0.046661217390199815,r1958
r1959_pos,890.0,0.04811198557603461,0.49888029532432215,0.08965264492141037,r1959
r1960_pos,1008.0,0.0012516207578745376,0.7740146548189478,0.006187096560295086,r1960
r1961_pos,1000.0,0.0016775789009194104,0.6774444967252171,0.007618469852333806,r1961
r1962_pos,1081.0,6.322392715197444e-05,0.8620608728537377,0.0005119806244586778,r1962
r1963_pos,1081.0,6.322392715197444e-05,0.8654166491928349,0.0005119806244586778,r1963
r1964_pos,1076.0,7.898559151390085e-05,0.9101222591150574,0.0006203976448838247,r1964
r1965_pos,1090.0,4.20680085324483e-05,1.0318124255645433,0.00036802467973165947,r1965
r1966_pos,1047.0,0.0002724914305520204,0.7012402759370675,0.0017544152696132545,r1966
r1967_pos,1007.0,0.0012987742710683483,0.7842596424462346,0.006296357463970071,r1967
r1968_pos,1019.0,0.0008275348220555926,0.8076914929887062,0.004491644569878154,r1968
r1969_pos,1021.0,0.0007665156800844731,0.8524133047102949,0.004195293106659993,r1969
r1970_pos,1007.0,0.0012987742710683483,0.850089082050594,0.006296357463970071,r1970
r1971_pos,1056.0,0.0001873326722999911,0.9134510082963949,0.0013206246100112642,r1971
r1972_pos,911.0,0.027883669488246596,0.4628191505879073,0.05821718214239346,r1972
r1973_pos,924.0,0.019455683939780307,0.4860267168851772,0.04580075451961971,r1973
r1974_pos,933.0,0.015013319566774437,0.5353655647650815,0.037376016521474646,r1974
